timestep,episode_reward
255256,425.87506
255664,408.546186
255952,408.611444
256560,414.189275
256968,421.564172
257472,412.46787
258504,423.684883
260816,414.386236
261240,418.446912
261296,426.923012
261392,413.494475
262616,421.278271
263072,420.67299
263376,418.708758
264456,418.961116
266992,415.32303
267312,417.192974
267344,418.012453
267672,428.617099
268488,412.965155
268528,420.230157
269248,413.894344
270576,417.113004
273280,420.440539
273288,421.211555
273712,421.527389
273952,426.195158
274816,424.625596
274952,421.672055
275624,423.152794
276568,419.306212
278920,413.24669
279008,415.633216
279752,413.587647
279848,421.835084
280376,414.977496
281016,416.418102
281264,422.042288
282608,418.672505
284624,417.200662
285160,417.41174
285800,417.928905
285864,420.595624
286416,422.869164
286528,416.175467
287520,423.388272
288368,416.239213
290640,417.380779
290848,416.824914
291664,422.808242
292232,424.631663
292536,417.4633
292696,424.45987
293848,414.753346
294080,425.154969
296856,418.077966
296944,418.696832
297856,418.114018
297992,423.60627
298480,416.001558
298608,417.722689
299496,412.594713
299984,416.36788
302320,412.615882
302760,417.714548
303480,418.548389
303936,421.748748
303944,421.279087
304384,417.700611
305672,416.654877
305824,416.830176
308144,415.371419
308936,421.087732
309416,417.430129
309760,421.632534
310056,425.919966
310512,425.317143
311352,414.555636
311928,423.400259
314024,419.354061
314976,422.787548
315544,419.605412
315608,414.830755
315704,421.016415
316808,435.02138
317080,417.102946
317656,415.85041
319784,415.37108
320608,416.992745
321488,423.340302
321488,418.089066
321504,427.618527
322448,414.795217
322664,415.025871
323552,419.187099
326248,421.599497
326656,426.435323
327032,419.707192
327368,419.505847
327408,420.256677
328000,417.010467
328168,419.758686
329432,421.484528
332360,419.531379
332688,422.382484
332696,419.04459
333192,420.181728
333576,431.053737
333640,422.512938
334200,418.905694
335208,417.982415
338288,418.678079
338344,425.631106
339072,426.163519
339336,419.913856
339400,429.109816
339408,416.129714
340080,420.368151
340784,419.48982
343952,418.036721
344152,414.539987
344944,419.14209
345024,422.25766
345160,425.700256
345368,424.388678
346072,422.195261
346336,415.440802
349808,423.532649
350336,427.734934
350640,422.371115
350864,419.198808
351056,418.291084
351536,430.760703
351920,414.884124
352464,429.224614
355648,423.263513
356416,423.071249
356904,427.711006
357056,421.527998
357064,413.446842
357088,421.379913
357840,425.998878
358496,425.416936
361352,413.970501
362376,422.152063
362760,422.290223
362808,421.29444
362944,419.912395
363048,424.96177
363536,421.826587
364448,425.482331
367680,433.778273
368288,421.326131
368312,414.605791
368552,422.458657
368792,423.272728
368816,417.91242
369232,416.011741
370368,426.69416
372880,408.596632
374192,426.213517
374376,421.873021
374536,417.493769
374664,420.627508
374920,422.360029
375392,423.642636
376480,417.599826
378456,418.499553
380096,420.279763
380272,422.698639
380488,423.15259
380704,426.405688
380864,422.24951
381408,421.961284
382320,418.625993
384392,421.369905
385704,419.697796
386304,423.294197
386392,420.006679
386448,423.456689
386840,416.68266
387496,418.024885
387752,412.813954
390656,428.958593
391808,423.531297
392176,422.849858
392248,422.332368
392576,424.329266
392592,426.599109
393024,417.738141
393424,421.066611
396696,419.79526
397744,412.920533
397840,420.724149
397856,421.418903
398240,420.60426
398480,423.773157
398736,416.791794
399208,425.959784
402784,419.721746
403400,419.703426
403592,415.603857
403696,426.852788
404200,432.577127
404224,417.41455
404648,420.677045
404776,424.602965
408688,425.132912
409000,417.858378
409144,417.020889
409336,423.525606
409824,423.392901
410088,420.698548
410504,423.430581
410752,431.091141
414520,423.51146
414776,425.112373
414864,415.276984
414896,418.683012
